risk_id,name,domain,description,owner_dept,period,likelihood,imp_financial,imp_compliance,imp_operation,imp_reputation,imp_fraud,imp_strategy,imp_data,imp_hse,rationale
R001,费用报销合规风险,资金活动,大额异常费用报销审核不到位，存在虚假报销套取资金可能,财务部,2025H2,4,4,4,2,3,5,1,2,,2025 年内审抽查发现 3 笔超标准报销；预算系统 2025Q4 上线刚性拦截
R002,收入确认完整性,财务报告与税务,收入截止性错误或提前确认，导致财报失真,财务部,2025H2,3,5,4,3,4,2,3,2,,上年度审计调整收入截止事项 2 项，涉及金额 120 万元
R003,资金支付越权审批,资金活动,超权限支付未履行集体决策程序，资金安全存在隐患,财务部,2025H2,3,5,5,3,4,4,2,2,,资金制度修订后未再发现越权支付；网银复核日志抽查正常
R004,供应商准入与围标串标,采购与外包,准入把关不严，关联供应商围标串标，采购价格虚高,采购部,2025H2,4,4,4,3,4,5,3,1,,近两年招标投诉 2 起；关联供应商筛查发现 1 家未申报关联关系
R005,合同法律审查缺位,合同管理,合同条款未经法务审查即签署，履约纠纷败诉风险,采购部,2025H2,3,4,5,4,4,3,3,2,,法律纠纷台账 2 起未决诉讼均涉合同条款缺陷
R006,到货验收流于形式,采购与外包,验收环节走过场，以次充好、数量短缺未被发现的可能,采购部,2025H2,3,4,3,4,2,4,1,1,2,仓库验收单抽查 20% 缺少影像附件
R007,工程造价失控,工程项目,设计变更与现场签证频繁，工程概算超支,工程部,2025H2,4,5,3,4,4,3,4,1,3,在建项目概算执行率 108%，设计变更签证 47 项
R008,施工安全环保隐患,安全环保,高危作业管理不到位，存在安全事故与环保处罚风险,安监部,2025H2,3,4,5,5,5,1,3,1,5,本年度安监通报 1 起未遂事故；特种作业持证率 100%
R009,竣工结算滞后超付,工程项目,竣工结算审计拖期，进度款超付事后追讨困难,工程部,2025H2,3,4,3,3,3,3,2,1,,两个竣工项目结算超期 6 个月以上，暂估挂账 860 万元
R010,核心系统权限失控,信息系统,账号权限职责分离失效，关键业务数据可被篡改,信息中心,2025H2,4,4,5,5,4,4,3,5,,权限复核发现 3 个离职未销账号；日志审计已覆盖核心系统
R011,备份容灾能力不足,信息系统,核心系统缺乏有效容灾，故障将导致业务长时间中断,信息中心,2025H2,3,4,3,5,4,1,4,4,,灾备演练 RTO 达标；双活改造完成验收
R012,网络攻击暴露面大,信息系统,互联网暴露资产多，面临勒索病毒入侵与数据泄露风险,信息中心,2025H2,4,4,5,5,5,2,4,5,,行业勒索事件高发；EDR 终端覆盖率因预算削减降至 60%
R013,关键岗位人才流失,人力资源,财务、信息等关键岗位骨干流失，出现断档,人力资源部,2025H2,4,3,2,4,3,1,5,,,财务、信息骨干离职率同比上升；AB 角覆盖不到位
R014,招聘录用舞弊,人力资源,亲属回避制度执行不严，存在人情招聘,人力资源部,2025H2,3,2,4,2,3,4,1,2,,近三年未发现招聘舞弊案例；背景调查执行率 100%
R015,存货盘点账实不符,资产管理,盘点流于形式，存货毁损盗失未能及时在账面反映,物资部,2025H2,3,4,3,3,3,4,1,1,2,上期盘点差异率 0.8% 已整改；条码管理覆盖主要仓库
R016,固定资产闲置低效,资产管理,大额设备长期闲置，投资决策论证不充分,资产管理部,2025H2,3,4,2,4,3,2,3,1,2,"闲置设备原值 1,200 万元；投资后评价制度已发布"
R017,重大投资决策论证不足,战略与投资,重大投资项目可行性论证不充分，决策失误造成损失,投资发展部,2025H2,4,5,2,3,4,2,5,2,3,上年度两个投资项目未达可研预期收益；董事会决策留痕不全
R018,“三重一大”决策程序执行不到位,治理与决策,重大事项未履行集体决策或前置程序，决策留痕不全,董事会办公室,2025H2,3,4,4,3,4,3,5,2,,审计发现 2 项大额事项未见集体决策记录
R019,税务申报与筹划合规,财务报告与税务,税务申报差错与筹划激进，引发补税罚款与信用降级,财务部,2025H2,3,4,5,2,3,1,3,3,,上年度汇算清缴调整事项 5 项；无税务处罚记录
R020,合同履约与变更管理,合同管理,履约跟踪不到位，变更与索赔管理失控,法务部,2025H2,3,4,3,4,3,3,3,2,2,履约台账覆盖率 70%；2 份合同变更未走审批
R021,业务外包管理失控,采购与外包,外包商准入评价与过程监督缺失，责任转嫁不出去,采购部,2025H2,4,3,4,4,2,3,3,3,4,外包商名录 3 年未更新；发生 1 起外包安全事故
R022,数据合规与个人信息保护,合规与法律,个人信息处理与数据出境不合规，面临监管处罚,法务部,2025H2,4,3,5,3,4,1,4,5,,数据监管新规密集出台；行业 App 违规通报案例增多
R023,环保设施运行与排放达标,安全环保,环保设施运行不稳定，排放超标引发处罚与限产,安监部,2025H2,3,4,5,4,4,1,4,1,4,上年度环保在线监测数据 2 次异常；未发生处罚
R024,银行账户与票据管理,资金活动,账户开立失控、票据审核不严，存在欺诈损失风险,财务部,2025H2,3,4,3,3,3,4,2,3,,账户年检完成率 100%；票据背书抽查发现 1 处瑕疵
