control_id,risk_id,period,description,score,key
C001,R001,2026H1,预算系统刚性拦截超标报销,4,否
C002,R001,2026H1,大额报销双人复核并抽凭,3,是
C003,R002,2026H1,季度收入截止测试程序,4,是
C004,R002,2026H1,业财对账自动化月度核对,3,否
C005,R003,2026H1,审批权限矩阵嵌入 OA 硬控制,4,否
C006,R003,2026H1,网银支付双人复核,5,是
C007,R003,2026H1,内审资金专项检查,3,否
C008,R004,2026H1,全流程电子化招投标平台留痕,4,是
C009,R004,2026H1,供应商关联关系申报承诺,3,否
C010,R004,2026H1,评标专家随机抽取,4,否
C011,R005,2026H1,标准合同模板库加法务会签,4,是
C012,R005,2026H1,履约台账跟踪预警,3,否
C013,R006,2026H1,三方联合验收并影像留存,4,是
C014,R007,2026H1,限额设计与变更分级审批,4,是
C015,R007,2026H1,第三方造价跟踪审计,3,否
C016,R008,2026H1,双重预防机制数字化巡检,4,否
C017,R008,2026H1,特种作业持证上岗核查,5,是
C018,R009,2026H1,结算时限考核与付款比例上限,3,是
C019,R010,2026H1,权限季度复核与离职当日回收,4,否
C020,R010,2026H1,敏感操作日志独立审计,5,是
C021,R010,2026H1,运维双因子认证,3,否
C022,R011,2026H1,异地灾备双活改造,4,是
C023,R011,2026H1,年度灾难恢复演练,3,否
C024,R012,2026H1,态势感知平台与渗透测试,4,否
C025,R012,2026H1,终端 EDR 全覆盖,2,是
C026,R012,2026H1,应急预案桌面演练,3,否
C027,R013,2026H1,关键岗位 AB 角与继任计划,2,是
C028,R014,2026H1,入职背景调查与亲属申报,4,是
C029,R015,2026H1,循环盘点与 ERP 条码管理,4,是
C030,R016,2026H1,投资项目后评价制度,3,是
C031,R017,2026H1,投资决策议事规则与可研复核,3,是
C032,R018,2026H1,“三重一大”事项清单化与决策督办,4,是
C033,R019,2026H1,年度税务健康检查,4,是
C034,R020,2026H1,合同履约台账与预警,3,是
C035,R021,2026H1,外包商准入评价与季度考核,3,是
C036,R022,2026H1,个人信息保护影响评估,3,否
C037,R022,2026H1,数据分类分级与出境评估,4,是
C038,R023,2026H1,排放在线监测联网,4,是
C039,R024,2026H1,账户年检与票据台账,4,是
